SCREEN LINE,DIRECTION,NUMBER OF STATIONS,TOTAL VEHICLES,TOTAL PERSONS,TOTAL AUTO,TOTAL AUTO PERSONS,TOTAL LIGHT TRUCKS,TOTAL TRUCKS (EXCLUDING LIGHT TRUCKS),TOTAL TRANSIT,TOTAL TRANSIT PERSONS,TOTAL BUSES,TOTAL BUS PASSENGERS,TOTAL LOCAL BUSES,TOTAL LOCAL BUS PASSENGERS,TOTAL BICYCLES,TOTAL MOTORCYCLES,TOTAL SUBWAY PASSENGERS,TOTAL GO TRAIN PASSENGERS,TOTAL PEDESTRIANS
1001I City West Boundary (Peel-Toronto Boundary) (Inbound),East,21,316771,380145,264143,328791,25807,24796,2220,51354,2025,35092,75,747,0,0,0,16262,0
1001O City West Boundary (Peel-Toronto Boundary) (Outbound),West,21,297543,350883,248202,304790,23214,24096,2232,46093,2031,30648,66,762,0,0,0,15445,0
1002I City North Boundary (York-Toronto Boundary) (Inbound),South,35,272463,305516,228119,285469,24290,18351,1725,20047,1703,18430,563,4203,0,0,0,1617,0
1002O City North Boundary (York-Toronto Boundary) (Outbound),North,35,268005,301643,221370,274756,26992,17841,1824,26887,1802,25399,547,5620,0,0,0,1488,0
1003I City East Boundary (Durham-Toronto Boundary) (Inbound),West,3,64687,80284,54823,70115,3527,6089,385,10169,248,5128,0,0,0,0,0,5041,0
1003O City East Boundary (Durham-Toronto Boundary) (Outbound),East,3,61213,73999,50455,62266,4539,5925,438,11733,294,6906,0,0,0,0,0,4827,0
1004I Humber River (Inbound),East/North/South,16,310851,421376,262369,322532,24030,22245,3856,98844,2207,39940,1088,19590,0,0,41270,17634,0
1004O Humber River (Outbound),North/South/West,16,289388,386179,241565,292886,24470,21188,3806,93293,2165,35917,1153,19432,0,0,40628,16748,0
1005I CNR Newmarket Subdivision (Inbound),East/North,28,358493,532483,292727,359403,37421,23513,6400,173080,4832,88900,3415,71000,0,0,65938,18242,0
1005O CNR Newmarket Subdivision (Outbound),South/West,28,346564,513328,282658,347529,36335,22846,6320,165799,4725,81331,3265,63854,0,0,67155,17313,0
1006I CNR Bala Subdivision (Inbound),North/South/West,29,381977,573471,320928,392685,35219,21729,5688,180786,4101,71065,2618,55238,0,0,98762,10959,0
1006O CNR Bala Subdivision (Outbound),East/North/South,29,370874,527487,310300,376825,34270,22134,5751,150662,4170,66397,2605,53096,0,0,74256,10009,0
1007I CNR Uxbridge Subdivision (Inbound),West,16,223394,303834,187323,233942,19230,13690,3754,69892,3151,49342,1763,37335,0,0,11687,8863,0
1007O CNR Uxbridge Subdivision (Outbound),East,16,210381,284751,175757,217780,18873,12588,3760,66971,3163,48775,1821,36862,0,0,9890,8306,0
1008I Eglinton Avenue-Humber River to CNR Uxbridge Subdivision (Inbound),South,39,323724,524980,277763,345492,28719,12930,7833,179488,4312,71693,2793,57636,0,0,102794,5001,0
1008O Eglinton Avenue-Humber River to CNR Uxbridge Subdivision (Outbound),North,39,295420,482087,253407,312913,25521,12338,7682,169174,4154,71798,2685,58536,0,0,92875,4501,0
1009I Hwy 401 South (Inbound),East/South/West,48,735954,958686,627240,769476,62632,38764,10139,189210,7318,120314,3314,72390,0,0,63594,5302,0
1009O Hwy 401 South (Outbound),East/North/West,52,714117,924461,606458,742821,63672,36422,10315,181640,7565,115090,3402,72462,0,0,61649,4901,0
