SCREEN LINE,DIRECTION,NUMBER OF STATIONS,TOTAL VEHICLES,TOTAL PERSONS,TOTAL AUTO,TOTAL AUTO PERSONS,TOTAL LIGHT TRUCKS,TOTAL TRUCKS (EXCLUDING LIGHT TRUCKS),TOTAL TRANSIT,TOTAL TRANSIT PERSONS,TOTAL BUSES,TOTAL BUS PASSENGERS,TOTAL LOCAL BUSES,TOTAL LOCAL BUS PASSENGERS,TOTAL BICYCLES,TOTAL MOTORCYCLES,TOTAL SUBWAY PASSENGERS,TOTAL GO TRAIN PASSENGERS,TOTAL PEDESTRIANS
01 South of Hwy 401 (Pickering),North,4,7143,7343,6180,7108,364,397,179,103,179,103,76,38,23,0,0,0,109
01 South of Hwy 401 (Pickering),South,4,10872,12602,10095,12354,195,340,193,55,193,55,85,15,49,0,0,0,144
02 South of Hwy 401 (Ajax),North,5,9884,9731,8404,9526,753,465,235,136,235,136,52,24,27,0,0,0,42
02 South of Hwy 401 (Ajax),South,5,13889,14310,12418,14156,898,334,217,103,217,103,59,7,22,0,0,0,29
03 South of Hwy 401 (Whitby),North,3,3323,3346,2797,3274,172,259,79,54,79,54,32,23,16,0,0,0,2
03 South of Hwy 401 (Whitby),South,3,8130,8188,7520,8124,163,357,75,48,75,48,37,16,15,0,0,0,1
04 South of Hwy 401 (Oshawa West),North,4,4305,4430,3799,4376,297,108,87,39,87,39,25,10,14,0,0,0,1
04 South of Hwy 401 (Oshawa West),South,4,4552,4757,4164,4700,203,92,79,42,79,42,23,8,14,0,0,0,1
05 South of Hwy 401 (Oshawa East),North,8,7344,7495,6316,7368,515,312,181,102,181,102,48,22,20,0,0,0,5
05 South of Hwy 401 (Oshawa East),South,8,11097,11468,10140,11350,535,235,159,88,159,88,55,22,28,0,0,0,2
11 North of Taunton Rd (Pickering),North,5,6872,6944,6264,6925,298,290,18,17,18,17,0,0,2,0,0,0,0
11 North of Taunton Rd (Pickering),South,5,3894,3684,3300,3668,279,291,18,9,18,9,0,0,6,0,0,0,1
12 North of Taunton Rd (Ajax),North,5,2327,2325,2139,2309,118,51,18,15,18,15,1,1,1,0,0,0,0
12 North of Taunton Rd (Ajax),South,5,2253,2252,2052,2238,133,54,8,7,8,7,0,0,6,0,0,0,1
13 North of Taunton Rd (Whitby),North,9,3616,3628,3037,3543,285,194,93,67,93,67,21,15,7,0,0,0,11
13 North of Taunton Rd (Whitby),South,9,5269,5402,4597,5325,338,223,96,43,96,43,22,15,15,0,0,0,19
14 North of Taunton Rd (Oshawa West),North,2,372,386,326,371,21,11,11,10,11,10,0,0,3,0,0,0,2
14 North of Taunton Rd (Oshawa West),South,2,442,448,397,435,20,8,16,12,16,12,0,0,1,0,0,0,0
15 North of Taunton Rd(Oshawa East),North,12,6800,6663,5809,6553,664,171,137,48,137,48,75,12,19,0,0,0,43
15 North of Taunton Rd(Oshawa East),South,12,7568,7920,6755,7798,551,128,116,38,116,38,66,10,18,0,0,0,66
16 North of Taunton Rd (Clarington: Darlington Township),North,13,1271,1085,978,1068,204,72,12,12,12,12,0,0,5,0,0,0,0
16 North of Taunton Rd (Clarington: Darlington Township),South,13,1117,953,888,947,158,62,7,4,7,4,0,0,2,0,0,0,0
17 North of Taunton Rd (Clarington: Clarke Township),North,6,1922,1695,1483,1676,130,287,17,14,17,14,0,0,5,0,0,0,0
17 North of Taunton Rd (Clarington: Clarke Township),South,6,3343,3091,2830,3080,248,239,23,8,23,8,0,0,3,0,0,0,0
22 South of Clarington North Limit (Clarke Township),North,5,1945,1555,1424,1549,275,236,9,5,9,5,0,0,1,0,0,0,0
22 South of Clarington North Limit (Clarke Township),South,5,3135,2621,2393,2608,469,253,19,10,19,10,0,0,1,0,0,0,2
