,SCREEN LINE,DIRECTION,NUMBER OF STATIONS,TOTAL VEHICLES (includes Bicycles),TOTAL PERSONS (NOT including Pedestrians),TOTAL AUTO,TOTAL AUTO PERSONS,TOTAL LIGHT TRUCKS,TOTAL TRUCKS (EXCLUDING LIGHT TRUCKS),TOTAL TRANSIT (including school bus),TOTAL TRANSIT PERSONS,TOTAL BUSES,TOTAL BUS PASSENGERS,TOTAL LOCAL BUSES,TOTAL LOCAL BUS PASSENGERS,TOTAL BICYCLES,TOTAL MOTORCYCLES,TOTAL SUBWAY PASSENGERS,TOTAL STREETCAR PASSENGERS,TOTAL GO TRAIN PASSENGERS,TOTAL PEDESTRIANS
1001I City West Boundary (Peel-Toronto Boundary) (Inbound),1001I,East/South,22,425996,509740,371600,435384,16379,35113,2247,73699,2247,24221,233,2647,657,0,0,0,49478,165
1001O City West Boundary (Peel-Toronto Boundary) (Outbound),1001O,North/West,22,379353,455535,331060,388017,16053,28999,2336,66613,2336,23591,250,3509,905,0,0,0,43022,205
1002I City North Boundary (York-Toronto Boundary) (Inbound),1002I,South,49,599603,682849,532570,621266,33433,29635,3368,60986,3368,40972,725,6914,597,0,0,0,20014,0
1002O City North Boundary (York-Toronto Boundary) (Outbound),1002O,North,49,592493,664020,528161,607538,30795,29501,3457,55903,3457,37811,743,7777,579,0,0,0,18092,0
1003I City East Boundary (Durham-Toronto Boundary) (Inbound),1003I,West,7,150878,172450,129639,145188,10121,10595,486,27225,486,10187,0,0,37,0,0,0,17038,10
1003O City East Boundary (Durham-Toronto Boundary) (Outbound),1003O,East,7,129790,144372,109295,122341,10241,9817,404,21998,404,7731,0,0,33,0,0,0,14267,14
1014I Central Area Cordon West (Bathurst St) (After 1986) (Inbound),1014I,East,27,195972,382939,175418,197854,8249,5588,1919,180287,1492,22388,537,11809,4798,0,82863,13813,61223,28673
1014O Central Area Cordon West (Bathurst St) (After 1986) (Outbound),1014O,West,27,184561,367104,163911,190107,8553,6055,1802,172757,1392,21385,496,9797,4240,0,83551,14012,53809,24285
1035I Central Area Cordon East (Don River) (Inbound),1035I,North/South/West,16,189259,347152,167725,197493,10968,6574,1828,147495,1078,7170,146,1488,2164,0,82571,21837,35917,2706
1035O Central Area Cordon East (Don River) (Outbound),1035O,East/North/South,16,181653,319347,160933,191849,10837,6298,1660,125573,981,6401,127,1070,1925,0,63575,22737,32860,2789
1058I Central Area Cordon North (Inbound),1058I,South,6,78512,242613,72168,82672,3130,996,394,158117,394,3825,140,1759,1824,0,154292,0,0,0
1058O Central Area Cordon North (Outbound),1058O,North,6,74752,214401,69493,81886,2658,975,358,131247,358,2480,126,985,1268,0,128767,0,0,0
1799I Central Area Cordon (After 1986)  (Inbound),1799I,East/North/South/West,49,463743,972704,415311,478019,22347,13158,4141,485899,2964,33383,823,15056,8786,0,319726,35650,97140,31379
1799O Central Area Cordon (After 1986)  (Outbound),1799O,East/North/South/West,49,440966,900852,394337,463842,22048,13328,3820,429577,2731,30266,749,11852,7433,0,275893,36749,86669,27074
