,SCREEN LINE,DIRECTION,NUMBER OF STATIONS,TOTAL VEHICLES (includes Bicycles),TOTAL PERSONS (NOT including Pedestrians),TOTAL AUTO,TOTAL AUTO PERSONS,TOTAL LIGHT TRUCKS,TOTAL TRUCKS (EXCLUDING LIGHT TRUCKS),TOTAL TRANSIT (including school bus),TOTAL TRANSIT PERSONS,TOTAL BUSES,TOTAL BUS PASSENGERS,TOTAL LOCAL BUSES,TOTAL LOCAL BUS PASSENGERS,TOTAL BICYCLES,TOTAL MOTORCYCLES,TOTAL SUBWAY PASSENGERS,TOTAL STREETCAR PASSENGERS,TOTAL GO TRAIN PASSENGERS,TOTAL PEDESTRIANS
1001I City West Boundary (Peel-Toronto Boundary) (Inbound),1001I,E/S,22,105635,155671,95489,107704,3686,5785,577,47869,577,6323,45,626,98,0,0,0,41546,22
1001O City West Boundary (Peel-Toronto Boundary) (Outbound),1001O,N/W,22,84021,89375,73984,82972,3462,5796,525,6149,525,5365,48,930,254,0,0,0,784,34
1002I City North Boundary (York-Toronto Boundary) (Inbound),1002I,S,49,165871,199303,150138,169224,8457,6289,871,29963,871,10365,187,1837,116,0,0,0,19598,0
1002O City North Boundary (York-Toronto Boundary) (Outbound),1002O,N,49,123402,132580,110417,123746,6182,5843,826,8700,826,8700,198,2524,134,0,0,0,0,0
1003I City East Boundary (Durham-Toronto Boundary) (Inbound),1003I,W,7,56268,71367,51220,54790,3030,1889,123,16571,123,2466,0,0,6,0,0,0,14105,2
1003O City East Boundary (Durham-Toronto Boundary) (Outbound),1003O,E,7,21702,21889,17571,19984,2041,2001,85,1901,85,1519,0,0,4,0,0,0,382,0
1014I Central Area Cordon West (Bathurst St) (After 1986) (Inbound),1014I,E,27,47469,135084,42419,47643,2132,1321,402,86246,306,4598,124,2866,1195,0,27973,2981,50694,3164
1014O Central Area Cordon West (Bathurst St) (After 1986) (Outbound),1014O,W,27,34328,55845,31001,34404,1530,980,379,21003,291,3918,107,1987,438,0,12956,2931,1198,1958
1035I Central Area Cordon East (Don River) (Inbound),1035I,N/S/W,16,49633,122742,44354,51596,3017,1294,376,70554,214,1543,36,365,592,0,35840,3530,29641,476
1035O Central Area Cordon East (Don River) (Outbound),1035O,E/N/S,16,37164,55339,32544,37833,2659,1396,380,17321,203,1268,32,333,185,0,8119,7578,356,240
1058I Central Area Cordon North (Inbound),1058I,S,6,20623,73940,18944,21253,894,172,87,52161,87,756,46,422,526,0,51405,0,0,0
1058O Central Area Cordon North (Outbound),1058O,N,6,12115,35857,11125,12727,510,197,71,22918,71,422,26,202,212,0,22496,0,0,0
1799I Central Area Cordon (After 1986)  (Inbound),1799I,E/N/S/W,49,117725,331766,105717,120492,6043,2787,865,208961,607,6897,206,3653,2313,0,115218,6511,80335,3640
1799O Central Area Cordon (After 1986)  (Outbound),1799O,E/N/S/W,49,83607,147041,74670,84964,4699,2573,830,61242,565,5608,165,2522,835,0,43571,10509,1554,2198
