,Unnamed: 0,SCREEN LINE,DIRECTION,NUMBER OF STATIONS,TOTAL VEHICLES (includes Bicycles),TOTAL PERSONS (NOT including Pedestrians),TOTAL AUTO,TOTAL AUTO PERSONS,TOTAL LIGHT TRUCKS,TOTAL TRUCKS (EXCLUDING LIGHT TRUCKS),TOTAL TRANSIT (including school bus),TOTAL TRANSIT PERSONS,TOTAL BUSES,TOTAL BUS PASSENGERS,TOTAL LOCAL BUSES,TOTAL LOCAL BUS PASSENGERS,TOTAL BICYCLES,TOTAL MOTORCYCLES,TOTAL SUBWAY PASSENGERS,TOTAL STREETCAR PASSENGERS,TOTAL GO TRAIN PASSENGERS,TOTAL PEDESTRIANS,COORDINATES,DESTINATIONS
0,1001I City West Boundary (Peel-Toronto Boundary) (Inbound),1001I,E/S,22,115296,129893,101295,120204,4188,8949,620,9445,620,7395,60,734,244,0,0,0,2050,68,"43.652042,-79.560828","43.652042,-79.540828"
1,1001O City West Boundary (Peel-Toronto Boundary) (Outbound),1001O,N/W,22,110541,160848,99290,119835,4485,5959,603,40809,603,6791,64,734,204,0,0,0,34018,71,"43.652042,-79.560828","43.652042,-79.580828"
2,1002I City North Boundary (York-Toronto Boundary) (Inbound),1002I,S,49,149974,171173,133841,159154,8319,6760,880,11845,880,11845,187,1988,174,0,0,0,0,0,"43.701288,-79.429347","43.681287999999995,-79.429347"
3,1002O City North Boundary (York-Toronto Boundary) (Outbound),1002O,N,49,186284,222458,169926,195487,8687,6594,922,26816,922,11437,185,2003,155,0,0,0,15379,0,"43.701288,-79.429347","43.721288,-79.429347"
4,1003I City East Boundary (Durham-Toronto Boundary) (Inbound),1003I,W,7,30190,33500,25377,29486,2141,2542,123,4007,123,3078,0,0,7,0,0,0,929,4,"43.81451,-79.168307","43.81451,-79.188307"
5,1003O City East Boundary (Durham-Toronto Boundary) (Outbound),1003O,E,7,49015,60036,43264,47404,3215,2420,107,12623,107,2569,0,0,9,0,0,0,10054,7,"43.81451,-79.168307","43.81451,-79.148307"
6,1014I Central Area Cordon West (Bathurst St) (After 1986) (Inbound),1014I,E,27,50965,82307,46147,51739,1792,1351,525,29418,414,6675,129,3068,1150,0,17200,3764,1779,9311,"43.647245,-79.404026","43.647245,-79.394026"
7,1014O Central Area Cordon West (Bathurst St) (After 1986) (Outbound),1014O,W,27,56671,152528,50094,59395,2612,1640,512,91320,409,6999,131,2967,1813,0,37417,3832,43072,9377,"43.647245,-79.404026","43.647245,-79.414026"
8,1035I Central Area Cordon East (Don River) (Inbound),1035I,N/S/W,16,47740,75161,41802,49334,2862,2060,547,25358,370,2993,42,426,469,0,14212,7133,1020,735,"43.660816,-79.355048","43.660816,-79.365048"
9,1035O Central Area Cordon East (Don River) (Outbound),1035O,E/N/S,16,56624,124220,50329,60021,3204,1811,488,63407,330,2460,38,326,792,0,30756,4596,25595,955,"43.660816,-79.355048","43.660816,-79.34504799999999"
10,1058I Central Area Cordon North (Inbound),1058I,S,6,17437,56208,16051,18506,564,249,112,37241,112,1141,34,509,461,0,36100,0,0,0,"43.670051,-79.389224","43.660051,-79.389224"
11,1058O Central Area Cordon North (Outbound),1058O,N,6,25069,83619,23442,27763,780,283,113,55405,113,905,34,305,451,0,54500,0,0,0,"43.670051,-79.389224","43.680051,-79.389224"
12,1799I Central Area Cordon (After 1986)  (Inbound),1799I,E/N/S/W,49,116142,213676,104000,119579,5218,3660,1184,92017,896,10809,205,4003,2080,0,67512,10897,2799,10046,"43.658288,-79.381844","43.648288,-79.381844"
13,1799O Central Area Cordon (After 1986)  (Outbound),1799O,E/N/S/W,49,138364,360367,123865,147179,6596,3734,1113,210132,852,10364,203,3598,3056,0,122673,8428,68667,10332,"43.658288,-79.381844","43.668288,-79.381844"
