,Measure Name,Year,Period,Value
396,TTC Monthly Ridership,2008,Jan,39242000
397,TTC Monthly Ridership,2008,Feb,35150000
398,TTC Monthly Ridership,2008,Mar,44924000
399,TTC Monthly Ridership,2008,Apr,33965000
400,TTC Monthly Ridership,2008,May,35357000
401,TTC Monthly Ridership,2008,Jun,43944000
402,TTC Monthly Ridership,2008,Jul,35532000
403,TTC Monthly Ridership,2008,Aug,34919000
404,TTC Monthly Ridership,2008,Sep,47629000
405,TTC Monthly Ridership,2008,Oct,38162000
406,TTC Monthly Ridership,2008,Nov,39630000
407,TTC Monthly Ridership,2008,Dec,38246000
408,TTC Monthly Ridership,2009,Jan,38164000
409,TTC Monthly Ridership,2009,Feb,36772000
410,TTC Monthly Ridership,2009,Mar,45583000
411,TTC Monthly Ridership,2009,Apr,35620000
412,TTC Monthly Ridership,2009,May,36377000
413,TTC Monthly Ridership,2009,Jun,44292000
414,TTC Monthly Ridership,2009,Jul,35386000
415,TTC Monthly Ridership,2009,Aug,34056000
416,TTC Monthly Ridership,2009,Sep,47842000
417,TTC Monthly Ridership,2009,Oct,37945000
418,TTC Monthly Ridership,2009,Nov,38732000
419,TTC Monthly Ridership,2009,Dec,40464000
420,TTC Monthly Ridership,2010,Jan,37403000
421,TTC Monthly Ridership,2010,Feb,36780000
422,TTC Monthly Ridership,2010,Mar,44902000
423,TTC Monthly Ridership,2010,Apr,36178000
424,TTC Monthly Ridership,2010,May,36823000
425,TTC Monthly Ridership,2010,Jun,44980000
426,TTC Monthly Ridership,2010,Jul,36427000
427,TTC Monthly Ridership,2010,Aug,34479000
428,TTC Monthly Ridership,2010,Sep,48479000
429,TTC Monthly Ridership,2010,Oct,38956000
430,TTC Monthly Ridership,2010,Nov,39174000
431,TTC Monthly Ridership,2010,Dec,42776000
432,TTC Monthly Ridership,2011,Jan,38249000
433,TTC Monthly Ridership,2011,Feb,38043000
434,TTC Monthly Ridership,2011,Mar,48174000
435,TTC Monthly Ridership,2011,Apr,37900000
436,TTC Monthly Ridership,2011,May,38786000
437,TTC Monthly Ridership,2011,Jun,48086000
438,TTC Monthly Ridership,2011,Jul,38128000
439,TTC Monthly Ridership,2011,Aug,35277000
440,TTC Monthly Ridership,2011,Sep,50446000
441,TTC Monthly Ridership,2011,Oct,40463000
442,TTC Monthly Ridership,2011,Nov,40661000
443,TTC Monthly Ridership,2011,Dec,46006000
444,TTC Monthly Ridership,2012,Jan,37936000
445,TTC Monthly Ridership,2012,Feb,39251000
446,TTC Monthly Ridership,2012,Mar,49555000
447,TTC Monthly Ridership,2012,Apr,38949000
448,TTC Monthly Ridership,2012,May,38951000
449,TTC Monthly Ridership,2012,Jun,50362000
450,TTC Monthly Ridership,2012,Jul,37384000
451,TTC Monthly Ridership,2012,Aug,36753000
452,TTC Monthly Ridership,2012,Sep,51614000
453,TTC Monthly Ridership,2012,Oct,41339000
454,TTC Monthly Ridership,2012,Nov,42202000
455,TTC Monthly Ridership,2012,Dec,49711000
456,TTC Monthly Ridership,2013,Jan,46045000
457,TTC Monthly Ridership,2013,Feb,40655000
458,TTC Monthly Ridership,2013,Mar,50204000
459,TTC Monthly Ridership,2013,Apr,40766000
460,TTC Monthly Ridership,2013,May,40114000
461,TTC Monthly Ridership,2013,Jun,50389000
462,TTC Monthly Ridership,2013,Jul,38989000
463,TTC Monthly Ridership,2013,Aug,38400000
464,TTC Monthly Ridership,2013,Sep,53046000
465,TTC Monthly Ridership,2013,Oct,42301000
466,TTC Monthly Ridership,2013,Nov,43328000
467,TTC Monthly Ridership,2013,Dec,40957000
468,TTC Monthly Ridership,2014,Jan,45612000
469,TTC Monthly Ridership,2014,Feb,41527000
470,TTC Monthly Ridership,2014,Mar,51320000
471,TTC Monthly Ridership,2014,Apr,40740000
472,TTC Monthly Ridership,2014,May,41040000
473,TTC Monthly Ridership,2014,Jun,50146000
